hanzi,pinyin,english,components,mnemonic,example_cn,example_en,tags,source
人,ren2,person,人,A standing person shape,这个人是老师。,This person is a teacher.,"grade3,characters",grade3_sample
口,kou3,mouth,口,Looks like an open mouth,张开口说话。,Open your mouth to speak.,"grade3,characters",grade3_sample
日,ri4,sun; day,日,Like the sun in a box,今天日头很大。,The sun is strong today.,"grade3,characters",grade3_sample
月,yue4,moon; month,月,Curved moon shape,这个月我们学中文。,This month we study Chinese.,"grade3,characters",grade3_sample
山,shan1,mountain,山,Three peaks like a mountain,山很高。,The mountain is tall.,"grade3,characters",grade3_sample
水,shui3,water,水,Flowing water lines,我喝水。,I drink water.,"grade3,characters",grade3_sample
火,huo3,fire,火,Flames rising upward,火很热。,Fire is hot.,"grade3,characters",grade3_sample
木,mu4,wood; tree,木,Tree trunk with branches,木头在地上。,The wood is on the ground.,"grade3,characters",grade3_sample
土,tu3,earth; soil,土,Ground line with sprout,土是棕色的。,Soil is brown.,"grade3,characters",grade3_sample
大,da4,big,人 + 一,Arms stretched wide means big,大狗跑来了。,A big dog ran over.,"grade3,characters",grade3_sample
小,xiao3,small,小,Tiny marks around a center,小猫很可爱。,The small cat is cute.,"grade3,characters",grade3_sample
上,shang4,up; above,一 + 卜,Mark above a line,书在桌子上。,The book is on the desk.,"grade3,characters",grade3_sample
下,xia4,down; below,一 + 卜,Mark below a line,猫在桌子下。,The cat is under the table.,"grade3,characters",grade3_sample
中,zhong1,middle; center,口 + 丨,A line through the center,我在中间。,I am in the middle.,"grade3,characters",grade3_sample
门,men2,door,门,Looks like a doorway,请关门。,Please close the door.,"grade3,characters",grade3_sample
手,shou3,hand,手,Fingers reaching out,我洗手了。,I washed my hands.,"grade3,characters",grade3_sample
心,xin1,heart,心,Heart beats in the chest,我很开心。,I am very happy.,"grade3,characters",grade3_sample
目,mu4,eye,目,Looks like an eye,我用眼睛看书。,I use my eyes to read.,"grade3,characters",grade3_sample
耳,er3,ear,耳,Shape of an ear,我用耳听音乐。,I use my ears to listen to music.,"grade3,characters",grade3_sample
子,zi3,child; suffix,子,A small child standing,孩子在笑。,The child is smiling.,"grade3,characters",grade3_sample
女,nu:3,woman; female,女,Figure kneeling,她是女生。,She is a girl student.,"grade3,characters",grade3_sample
好,hao3,good,女 + 子,A woman and child together means good,今天天气很好。,The weather is good today.,"grade3,characters",grade3_sample
学,xue2,study; learn,⺍ + 冖 + 子,A child under a roof learning,我们学中文。,We study Chinese.,"grade3,characters",grade3_sample
校,xiao4,school,木 + 交,Tree plus exchange hints at school,学校在那边。,The school is over there.,"grade3,characters",grade3_sample
书,shu1,book,书,Bound pages,我看书。,I read a book.,"grade3,characters",grade3_sample
本,ben3,root; classifier for books,木 + 一,A mark at the root of a tree,一本书在这里。,One book is here.,"grade3,characters",grade3_sample
天,tian1,sky; day,一 + 大,Big thing under the sky,今天天很蓝。,The sky is blue today.,"grade3,characters",grade3_sample
气,qi4,air; weather,气,Air rising and moving,天气很好。,The weather is good.,"grade3,characters",grade3_sample
雨,yu3,rain,雨,Drops falling from the sky,外面下雨了。,It is raining outside.,"grade3,characters",grade3_sample
明,ming2,bright,日 + 月,Sun and moon together are bright,明天见。,See you tomorrow.,"grade3,characters",grade3_sample
